1,Amazon Echo,Consumer Electronics,79.99,20000
2,Amazon Echo Dot,Consumer Electronics,39.99,10000
3,Instant Pot pressure cooker,Home Appliances,79.99,0
4,TechMatte MagGrip Air Vent Magnetic Universal Car Mount,Phone Accessories,9.99,1000
5,Fire HD tablet,Consumer Electoronics,119.99,5000
6,SanDisk 32 GB Ultra Class Memory Card,Technology,9.99,2000
7,Sony XB950B1 Extra Bass Wireless Headphones with App Control,Consumer Electronics,89.99,500
8,Amazon Music Unlimited,Music,9.99,10000000
9,iRobot Roomba 652 Robotic Vacuum Cleaner,Consumer Electronics,179.99,2500
10,Anker Bluetooth SoundBuds,Consumer Electronics,24.99,2000
